block_size,GPU KMeans (explicit) t_gpu ms,GPU KMeans (managed) t_gpu ms,GPU KMeans (system alloc) t_gpu ms
32,9.826684,0.302093,381.443262
48,7.92346,0.249794,359.580994
64,7.697654,0.230269,349.759102
128,10.062003,0.239623,360.512018
238,12.933397,0.275297,527.676821
512,13.950682,0.267056,566.216469
1024,11.558843,0.281383,542.008162
