block_size,GPU KMeans (explicit) ms,GPU KMeans (managed) ms,GPU KMeans (system alloc) ms
32,9.855509,0.085435,92.6826
48,7.941794,0.080693,90.742397
64,7.716298,0.0795,90.137005
128,10.08029,0.079993,90.736294
238,12.951398,0.083709,108.130598
512,13.969994,0.083062,111.248803
1024,11.577106,0.085002,109.181595
