N,iters,frac,mode,metric,time_ms,bandwidth_GBps
1024,1,0.1,explicit,Pre Kernel Costs,0.084,
1024,1,0.1,explicit,H2D once,0.084,
1024,1,0.1,explicit,D2H avg per-iter,0.033,
1024,1,0.1,explicit,GPU Kernel avg,0.008,
1024,1,0.1,explicit,CPU compute,0.158,
1024,1,0.1,explicit,GPU Kernel total,0.008,
1024,1,0.1,explicit,CPU compute total,0.158,
1024,1,0.1,explicit,Compute E2E (avg per-iter),0.231,
1024,1,0.1,explicit,Compute E2E (whole loop),1.543,
1024,1,0.1,explicit,Full    E2E,1.627,
1024,1,0.1,explicit,CPU read time,0.649,
1024,1,0.1,um_migrate,WARMUP GPU Kernel (first iter),0.179,
1024,1,0.1,um_migrate,WARMUP CPU compute (first iter),0.968,
1024,1,0.1,um_migrate,WARMUP total time,3.032,
1024,1,0.1,um_migrate,Pre Kernel Costs,1.52,
1024,1,0.1,um_migrate,UM prefetch-to-GPU,1.52,
1024,1,0.1,um_migrate,UM prefetch-to-CPU (post),0.114,
1024,1,0.1,um_migrate,GPU Kernel avg,0.008,
1024,1,0.1,um_migrate,CPU compute,0.8,
1024,1,0.1,um_migrate,GPU Kernel total,0.008,
1024,1,0.1,um_migrate,CPU compute total,0.8,
1024,1,0.1,um_migrate,Compute E2E (avg per-iter),0.84,
1024,1,0.1,um_migrate,Compute E2E (whole loop),4.637,
1024,1,0.1,um_migrate,Full    E2E,6.157,
1024,1,0.1,um_migrate,CPU read time,0.646,
1024,1,0.1,um_migrate_no_prefetch,WARMUP GPU Kernel (first iter),3.802,
1024,1,0.1,um_migrate_no_prefetch,WARMUP CPU compute (first iter),0.147,
1024,1,0.1,um_migrate_no_prefetch,WARMUP total time,4.748,
1024,1,0.1,um_migrate_no_prefetch,Pre Kernel Costs,0.0,
1024,1,0.1,um_migrate_no_prefetch,GPU Kernel avg,2.031,
1024,1,0.1,um_migrate_no_prefetch,CPU compute,0.235,
1024,1,0.1,um_migrate_no_prefetch,GPU Kernel total,2.031,
1024,1,0.1,um_migrate_no_prefetch,CPU compute total,0.235,
1024,1,0.1,um_migrate_no_prefetch,Compute E2E (avg per-iter),2.057,
1024,1,0.1,um_migrate_no_prefetch,Compute E2E (whole loop),7.936,
1024,1,0.1,um_migrate_no_prefetch,Full    E2E,7.936,
1024,1,0.1,um_migrate_no_prefetch,CPU read time,1.126,
1024,1,0.1,gh_hbm_shared,WARMUP GPU Kernel (first iter),0.104,
1024,1,0.1,gh_hbm_shared,WARMUP CPU compute (first iter),0.279,
1024,1,0.1,gh_hbm_shared,WARMUP total time,0.59,
1024,1,0.1,gh_hbm_shared,Pre Kernel Costs,0.208,
1024,1,0.1,gh_hbm_shared,GPU Kernel avg,0.008,
1024,1,0.1,gh_hbm_shared,CPU compute,0.17,
1024,1,0.1,gh_hbm_shared,GPU Kernel total,0.008,
1024,1,0.1,gh_hbm_shared,CPU compute total,0.17,
1024,1,0.1,gh_hbm_shared,Compute E2E (avg per-iter),0.204,
1024,1,0.1,gh_hbm_shared,Compute E2E (whole loop),1.585,
1024,1,0.1,gh_hbm_shared,Full    E2E,1.793,
1024,1,0.1,gh_hbm_shared,CPU read time,0.785,
1024,1,0.1,gh_hbm_shared_no_prefetch,WARMUP GPU Kernel (first iter),0.421,
1024,1,0.1,gh_hbm_shared_no_prefetch,WARMUP CPU compute (first iter),0.16,
1024,1,0.1,gh_hbm_shared_no_prefetch,WARMUP total time,0.722,
1024,1,0.1,gh_hbm_shared_no_prefetch,Pre Kernel Costs,0.0,
1024,1,0.1,gh_hbm_shared_no_prefetch,GPU Kernel avg,0.009,
1024,1,0.1,gh_hbm_shared_no_prefetch,CPU compute,0.168,
1024,1,0.1,gh_hbm_shared_no_prefetch,GPU Kernel total,0.009,
1024,1,0.1,gh_hbm_shared_no_prefetch,CPU compute total,0.168,
1024,1,0.1,gh_hbm_shared_no_prefetch,Compute E2E (avg per-iter),0.218,
1024,1,0.1,gh_hbm_shared_no_prefetch,Compute E2E (whole loop),1.728,
1024,1,0.1,gh_hbm_shared_no_prefetch,Full    E2E,1.728,
1024,1,0.1,gh_hbm_shared_no_prefetch,CPU read time,0.784,
1024,1,0.1,gh_cpu_shared,WARMUP GPU Kernel (first iter),0.161,
1024,1,0.1,gh_cpu_shared,WARMUP CPU compute (first iter),0.175,
1024,1,0.1,gh_cpu_shared,WARMUP total time,0.481,
1024,1,0.1,gh_cpu_shared,Pre Kernel Costs,0.0,
1024,1,0.1,gh_cpu_shared,GPU Kernel avg,0.052,
1024,1,0.1,gh_cpu_shared,CPU compute,0.169,
1024,1,0.1,gh_cpu_shared,GPU Kernel total,0.052,
1024,1,0.1,gh_cpu_shared,CPU compute total,0.169,
1024,1,0.1,gh_cpu_shared,Compute E2E (avg per-iter),0.212,
1024,1,0.1,gh_cpu_shared,Compute E2E (whole loop),1.339,
1024,1,0.1,gh_cpu_shared,Full    E2E,1.339,
1024,1,0.1,gh_cpu_shared,CPU read time,0.641,
1024,1,0.1,gh_hmm_pageable,WARMUP GPU Kernel (first iter),3.243,
1024,1,0.1,gh_hmm_pageable,WARMUP CPU compute (first iter),0.166,
1024,1,0.1,gh_hmm_pageable,WARMUP total time,126.897,
1024,1,0.1,gh_hmm_pageable,Pre Kernel Costs,0.0,
1024,1,0.1,gh_hmm_pageable,GPU Kernel avg,0.013,
1024,1,0.1,gh_hmm_pageable,CPU compute,0.211,
1024,1,0.1,gh_hmm_pageable,GPU Kernel total,0.013,
1024,1,0.1,gh_hmm_pageable,CPU compute total,0.211,
1024,1,0.1,gh_hmm_pageable,Compute E2E (avg per-iter),0.252,
1024,1,0.1,gh_hmm_pageable,Compute E2E (whole loop),127.941,
1024,1,0.1,gh_hmm_pageable,Full    E2E,127.941,
1024,1,0.1,gh_hmm_pageable,CPU read time,0.787,
1024,1,0.1,gh_hmm_pageable_cuda_init,WARMUP GPU Kernel (first iter),0.025,
1024,1,0.1,gh_hmm_pageable_cuda_init,WARMUP CPU compute (first iter),0.456,
1024,1,0.1,gh_hmm_pageable_cuda_init,WARMUP total time,0.866,
1024,1,0.1,gh_hmm_pageable_cuda_init,Pre Kernel Costs,0.0,
1024,1,0.1,gh_hmm_pageable_cuda_init,GPU Kernel avg,0.008,
1024,1,0.1,gh_hmm_pageable_cuda_init,CPU compute,0.213,
1024,1,0.1,gh_hmm_pageable_cuda_init,GPU Kernel total,0.008,
1024,1,0.1,gh_hmm_pageable_cuda_init,CPU compute total,0.213,
1024,1,0.1,gh_hmm_pageable_cuda_init,Compute E2E (avg per-iter),0.257,
1024,1,0.1,gh_hmm_pageable_cuda_init,Compute E2E (whole loop),1.917,
1024,1,0.1,gh_hmm_pageable_cuda_init,Full    E2E,1.917,
1024,1,0.1,gh_hmm_pageable_cuda_init,CPU read time,0.789,
1024,1,0.2,explicit,WARMUP GPU Kernel (first iter),0.075,
1024,1,0.2,explicit,WARMUP CPU compute (first iter),0.482,
1024,1,0.2,explicit,WARMUP total time,1.071,
1024,1,0.2,explicit,Pre Kernel Costs,0.086,
1024,1,0.2,explicit,H2D once,0.086,
1024,1,0.2,explicit,D2H avg per-iter,0.03,
1024,1,0.2,explicit,GPU Kernel avg,0.008,
1024,1,0.2,explicit,CPU compute,0.313,
1024,1,0.2,explicit,GPU Kernel total,0.008,
1024,1,0.2,explicit,CPU compute total,0.313,
1024,1,0.2,explicit,Compute E2E (avg per-iter),0.415,
1024,1,0.2,explicit,Compute E2E (whole loop),2.138,
1024,1,0.2,explicit,Full    E2E,2.224,
1024,1,0.2,explicit,CPU read time,0.647,
1024,1,0.2,um_migrate,WARMUP GPU Kernel (first iter),0.206,
1024,1,0.2,um_migrate,WARMUP CPU compute (first iter),1.273,
1024,1,0.2,um_migrate,WARMUP total time,3.43,
1024,1,0.2,um_migrate,Pre Kernel Costs,1.556,
1024,1,0.2,um_migrate,UM prefetch-to-GPU,1.555,
1024,1,0.2,um_migrate,UM prefetch-to-CPU (post),0.091,
1024,1,0.2,um_migrate,GPU Kernel avg,0.007,
1024,1,0.2,um_migrate,CPU compute,1.042,
1024,1,0.2,um_migrate,GPU Kernel total,0.007,
1024,1,0.2,um_migrate,CPU compute total,1.042,
1024,1,0.2,um_migrate,Compute E2E (avg per-iter),1.074,
1024,1,0.2,um_migrate,Compute E2E (whole loop),5.25,
1024,1,0.2,um_migrate,Full    E2E,6.806,
1024,1,0.2,um_migrate,CPU read time,0.651,
1024,1,0.2,um_migrate_no_prefetch,WARMUP GPU Kernel (first iter),3.994,
1024,1,0.2,um_migrate_no_prefetch,WARMUP CPU compute (first iter),0.654,
1024,1,0.2,um_migrate_no_prefetch,WARMUP total time,5.097,
1024,1,0.2,um_migrate_no_prefetch,Pre Kernel Costs,0.001,
1024,1,0.2,um_migrate_no_prefetch,GPU Kernel avg,2.41,
1024,1,0.2,um_migrate_no_prefetch,CPU compute,0.519,
1024,1,0.2,um_migrate_no_prefetch,GPU Kernel total,2.41,
1024,1,0.2,um_migrate_no_prefetch,CPU compute total,0.519,
1024,1,0.2,um_migrate_no_prefetch,Compute E2E (avg per-iter),2.434,
1024,1,0.2,um_migrate_no_prefetch,Compute E2E (whole loop),8.586,
1024,1,0.2,um_migrate_no_prefetch,Full    E2E,8.587,
1024,1,0.2,um_migrate_no_prefetch,CPU read time,1.051,
1024,1,0.2,gh_hbm_shared,WARMUP GPU Kernel (first iter),0.105,
1024,1,0.2,gh_hbm_shared,WARMUP CPU compute (first iter),0.355,
1024,1,0.2,gh_hbm_shared,WARMUP total time,0.835,
1024,1,0.2,gh_hbm_shared,Pre Kernel Costs,0.195,
1024,1,0.2,gh_hbm_shared,GPU Kernel avg,0.008,
1024,1,0.2,gh_hbm_shared,CPU compute,0.341,
1024,1,0.2,gh_hbm_shared,GPU Kernel total,0.008,
1024,1,0.2,gh_hbm_shared,CPU compute total,0.341,
1024,1,0.2,gh_hbm_shared,Compute E2E (avg per-iter),0.385,
1024,1,0.2,gh_hbm_shared,Compute E2E (whole loop),1.998,
1024,1,0.2,gh_hbm_shared,Full    E2E,2.193,
1024,1,0.2,gh_hbm_shared,CPU read time,0.773,
1024,1,0.2,gh_hbm_shared_no_prefetch,WARMUP GPU Kernel (first iter),0.394,
1024,1,0.2,gh_hbm_shared_no_prefetch,WARMUP CPU compute (first iter),0.524,
1024,1,0.2,gh_hbm_shared_no_prefetch,WARMUP total time,1.022,
1024,1,0.2,gh_hbm_shared_no_prefetch,Pre Kernel Costs,0.0,
