block_size,t_alloc_malloc,t_cpu,t_gpu,t_init_malloc,components_sum_ms,end2end_ms,components_error_ms
32,0.00906,96.00997,532.701254,231.218815,859.9390989999999,859.942913,0.003814000000033957
48,0.00906,95.683813,503.161907,231.029987,829.884767,829.886913,0.002146000000038839
64,0.008821,95.561028,500.499964,230.862141,826.931954,826.938868,0.006913999999937914
128,0.00906,95.036745,528.279305,230.916977,854.2420870000001,854.244947,0.002859999999941465
238,0.00906,95.199823,677.202225,231.189013,1003.600121,1003.600121,0.0
512,0.010967,95.748901,823.763847,231.468916,1150.992631,1150.996923,0.0042919999998503044
1024,0.010014,95.552683,737.019062,232.051134,1064.632893,1064.634085,0.001191999999946347
