block_size,t_alloc_um,t_cpu,t_gpu,t_init_um,components_sum_ms,end2end_ms,components_error_ms
32,310.106993,0.244379,269.688606,245.44692,825.4868979999999,825.49119,0.004292000000077678
48,234.984875,0.245094,247.9949,246.394157,729.619026,729.624033,0.005007000000091466
64,219.580889,0.25034,231.605053,248.615026,700.0513080000001,700.058937,0.007628999999951702
128,218.172073,0.237226,238.849878,245.659828,702.919005,702.921867,0.0028620000000501022
238,219.776869,0.245094,278.681993,246.605158,745.3091139999999,745.313883,0.004769000000123924
512,219.93494,0.23222,263.284683,247.66922,731.1210629999999,731.123924,0.002861000000052627
1024,218.572855,0.239372,302.064657,248.114109,768.990993,768.996,0.005006999999977779
