block_size,t_alloc_cpu,t_alloc_gpu,t_cpu,t_gpu,t_transfers,components_sum_ms,end2end_ms,components_error_ms
32,490.267992,198.967934,181.917191,98.439455,8.488417,978.080989,978.096008,0.015018999999938387
48,490.854025,208.939075,180.342913,79.474688,8.399248,968.009949,968.024015,0.014065999999957057
64,489.912033,288.422108,98.948956,77.268839,8.379221,962.931157,962.946177,0.01502000000004955
128,490.616083,279.675007,105.194092,107.113123,8.304834,990.9031389999999,990.921021,0.01788200000009965
238,489.464998,206.496,181.011915,134.229422,8.454323,1019.6566580000001,1019.673109,0.016450999999847227
512,489.697933,201.816082,181.253195,138.930082,8.321524,1020.0188159999999,1020.035028,0.016212000000109583
1024,489.238977,203.865051,182.070971,110.239983,8.641958,994.05694,994.072914,0.015973999999914668
