STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%%    Threads  Total(ms)    Cold(ms)     Warm(ms)     Read(ms)     UMback(ms)
gh_cpu_shared          2048     1     5       15     32       0.409        0.409        --           2.579        --        
gh_cpu_shared          2048     1     5       15     64       0.514        0.514        --           2.574        --        
gh_cpu_shared          2048     1     5       20     1        0.498        0.498        --           2.575        --        
gh_cpu_shared          2048     1     5       20     2        0.343        0.343        --           2.592        --        
gh_cpu_shared          2048     1     5       20     4        0.320        0.320        --           2.575        --        
gh_cpu_shared          2048     1     5       20     8        0.323        0.323        --           2.589        --        
gh_cpu_shared          2048     1     5       20     16       0.349        0.349        --           2.582        --        
gh_cpu_shared          2048     1     5       20     32       0.394        0.394        --           2.578        --        
gh_cpu_shared          2048     1     5       20     64       0.503        0.503        --           2.582        --        
gh_cpu_shared          2048     1     5       25     1        0.573        0.573        --           2.578        --        
gh_cpu_shared          2048     1     5       25     2        0.377        0.377        --           2.586        --        
gh_cpu_shared          2048     1     5       25     4        0.312        0.312        --           2.583        --        
gh_cpu_shared          2048     1     5       25     8        0.311        0.311        --           2.579        --        
gh_cpu_shared          2048     1     5       25     16       0.336        0.336        --           2.606        --        
gh_cpu_shared          2048     1     5       25     32       0.384        0.384        --           2.577        --        
gh_cpu_shared          2048     1     5       25     64       0.503        0.503        --           2.576        --        
gh_cpu_shared          2048     1     5       30     1        0.659        0.659        --           2.577        --        
gh_cpu_shared          2048     1     5       30     2        0.415        0.415        --           2.586        --        
gh_cpu_shared          2048     1     5       30     4        0.306        0.306        --           2.594        --        
gh_cpu_shared          2048     1     5       30     8        0.300        0.300        --           2.578        --        
gh_cpu_shared          2048     1     5       30     16       0.325        0.325        --           2.605        --        
gh_cpu_shared          2048     1     5       30     32       0.374        0.374        --           2.576        --        
gh_cpu_shared          2048     1     5       30     64       0.488        0.488        --           2.576        --        
gh_hmm_pageable        2048     1     5       10     1        2.330        2.330        --           3.444        --        
gh_hmm_pageable        2048     1     5       10     2        2.480        2.480        --           3.434        --        
gh_hmm_pageable        2048     1     5       10     4        2.248        2.248        --           3.437        --        
gh_hmm_pageable        2048     1     5       10     8        2.211        2.211        --           3.433        --        
gh_hmm_pageable        2048     1     5       10     16       2.225        2.225        --           3.457        --        
gh_hmm_pageable        2048     1     5       10     32       2.255        2.255        --           3.430        --        
gh_hmm_pageable        2048     1     5       10     64       2.401        2.401        --           3.444        --        
gh_hmm_pageable        2048     1     5       15     1        2.354        2.354        --           3.374        --        
gh_hmm_pageable        2048     1     5       15     2        2.264        2.264        --           3.347        --        
gh_hmm_pageable        2048     1     5       15     4        2.169        2.169        --           3.373        --        
gh_hmm_pageable        2048     1     5       15     8        2.151        2.151        --           3.389        --        
gh_hmm_pageable        2048     1     5       15     16       2.155        2.155        --           3.355        --        
gh_hmm_pageable        2048     1     5       15     32       2.162        2.162        --           3.373        --        
gh_hmm_pageable        2048     1     5       15     64       2.284        2.284        --           3.365        --        
gh_hmm_pageable        2048     1     5       20     1        2.229        2.229        --           3.278        --        
gh_hmm_pageable        2048     1     5       20     2        2.062        2.062        --           3.305        --        
gh_hmm_pageable        2048     1     5       20     4        2.050        2.050        --           3.303        --        
gh_hmm_pageable        2048     1     5       20     8        2.004        2.004        --           3.306        --        
gh_hmm_pageable        2048     1     5       20     16       1.991        1.991        --           3.294        --        
gh_hmm_pageable        2048     1     5       20     32       2.034        2.034        --           3.273        --        
gh_hmm_pageable        2048     1     5       20     64       2.121        2.121        --           3.289        --        
gh_hmm_pageable        2048     1     5       25     1        2.185        2.185        --           3.224        --        
gh_hmm_pageable        2048     1     5       25     2        2.031        2.031        --           3.187        --        
gh_hmm_pageable        2048     1     5       25     4        1.929        1.929        --           3.229        --        
gh_hmm_pageable        2048     1     5       25     8        1.871        1.871        --           3.206        --        
gh_hmm_pageable        2048     1     5       25     16       1.862        1.862        --           3.256        --        
gh_hmm_pageable        2048     1     5       25     32       1.894        1.894        --           3.206        --        
gh_hmm_pageable        2048     1     5       25     64       2.046        2.046        --           3.223        --        
gh_hmm_pageable        2048     1     5       30     1        2.107        2.107        --           3.132        --        
gh_hmm_pageable        2048     1     5       30     2        1.965        1.965        --           3.120        --        
gh_hmm_pageable        2048     1     5       30     4        1.853        1.853        --           3.150        --        
gh_hmm_pageable        2048     1     5       30     8        1.817        1.817        --           3.141        --        
gh_hmm_pageable        2048     1     5       30     16       1.807        1.807        --           3.145        --        
gh_hmm_pageable        2048     1     5       30     32       1.818        1.818        --           3.138        --        
gh_hmm_pageable        2048     1     5       30     64       1.959        1.959        --           3.143        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     1        0.578        0.578        --           3.491        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     2        0.366        0.366        --           3.494        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     4        0.242        0.242        --           3.471        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     8        0.202        0.202        --           3.489        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     16       0.203        0.203        --           3.462        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     32       0.247        0.247        --           3.448        --        
gh_hmm_pageable_gpu_init 2048     1     5       10     64       0.363        0.363        --           3.475        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     1        0.842        0.842        --           3.422        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     2        0.502        0.502        --           3.448        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     4        0.305        0.305        --           3.458        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     8        0.236        0.236        --           3.437        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     16       0.214        0.214        --           3.415        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     32       0.245        0.245        --           3.405        --        
gh_hmm_pageable_gpu_init 2048     1     5       15     64       0.350        0.350        --           3.423        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     1        1.081        1.081        --           3.467        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     2        0.618        0.618        --           3.476        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     4        0.355        0.355        --           3.382        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     8        0.258        0.258        --           3.381        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     16       0.236        0.236        --           3.397        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     32       0.284        0.284        --           3.354        --        
gh_hmm_pageable_gpu_init 2048     1     5       20     64       0.365        0.365        --           3.352        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     1        1.336        1.336        --           3.431        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     2        0.743        0.743        --           3.436        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     4        0.422        0.422        --           3.413        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     8        0.291        0.291        --           3.369        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     16       0.252        0.252        --           3.375        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     32       0.254        0.254        --           3.327        --        
gh_hmm_pageable_gpu_init 2048     1     5       25     64       0.356        0.356        --           3.290        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     1        1.539        1.539        --           3.389        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     2        0.852        0.852        --           3.425        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     4        0.507        0.507        --           3.461        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     8        0.325        0.325        --           3.417        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     16       0.264        0.264        --           3.322        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     32       0.274        0.274        --           3.269        --        
gh_hmm_pageable_gpu_init 2048     1     5       30     64       0.365        0.365        --           3.212        --        
um_migrate_no_prefetch 2048     1     5       10     1        10.280       10.280       --           4.208        --        
um_migrate_no_prefetch 2048     1     5       10     2        10.421       10.421       --           4.185        --        
um_migrate_no_prefetch 2048     1     5       10     4        10.132       10.132       --           4.203        --        
um_migrate_no_prefetch 2048     1     5       10     8        10.608       10.608       --           4.188        --        
um_migrate_no_prefetch 2048     1     5       10     16       10.614       10.614       --           4.210        --        
um_migrate_no_prefetch 2048     1     5       10     32       10.233       10.233       --           4.203        --        
um_migrate_no_prefetch 2048     1     5       10     64       10.098       10.098       --           4.211        --        
um_migrate_no_prefetch 2048     1     5       15     1        9.986        9.986        --           4.090        --        
um_migrate_no_prefetch 2048     1     5       15     2        9.788        9.788        --           4.094        --        
um_migrate_no_prefetch 2048     1     5       15     4        9.375        9.375        --           4.114        --        
um_migrate_no_prefetch 2048     1     5       15     8        9.001        9.001        --           4.165        --        
um_migrate_no_prefetch 2048     1     5       15     16       9.036        9.036        --           4.102        --        
um_migrate_no_prefetch 2048     1     5       15     32       9.183        9.183        --           4.102        --        
