section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,2048,10,0.3,gh_hmm_pageable,1.086,61.8
HYBRID SWEEP,2048,10,0.3,gh_hmm_pageable_cuda_init,0.064,1046.59
HYBRID SWEEP,2048,10,0.4,um_migrate,3.36,19.97
HYBRID SWEEP,2048,10,0.4,um_migrate_no_prefetch,2.784,24.11
HYBRID SWEEP,2048,10,0.4,gh_hbm_shared,0.058,1160.89
HYBRID SWEEP,2048,10,0.4,gh_hbm_shared_no_prefetch,0.057,1173.04
HYBRID SWEEP,2048,10,0.4,gh_cpu_shared,1.003,66.91
HYBRID SWEEP,2048,10,0.4,gh_hmm_pageable,1.203,55.78
HYBRID SWEEP,2048,10,0.4,gh_hmm_pageable_cuda_init,0.057,1186.98
HYBRID SWEEP,2048,10,0.5,um_migrate,2.576,26.05
HYBRID SWEEP,2048,10,0.5,um_migrate_no_prefetch,1.574,42.64
HYBRID SWEEP,2048,10,0.5,gh_hbm_shared,0.05,1352.04
HYBRID SWEEP,2048,10,0.5,gh_hbm_shared_no_prefetch,0.051,1323.79
HYBRID SWEEP,2048,10,0.5,gh_cpu_shared,0.867,77.36
HYBRID SWEEP,2048,10,0.5,gh_hmm_pageable,0.056,1187.92
HYBRID SWEEP,2048,10,0.5,gh_hmm_pageable_cuda_init,0.05,1340.2
HYBRID SWEEP,2048,10,0.7,um_migrate,3.979,16.87
HYBRID SWEEP,2048,10,0.7,um_migrate_no_prefetch,3.378,19.87
HYBRID SWEEP,2048,10,0.7,gh_hbm_shared,0.039,1706.53
HYBRID SWEEP,2048,10,0.7,gh_hbm_shared_no_prefetch,0.04,1667.98
HYBRID SWEEP,2048,10,0.7,gh_cpu_shared,0.488,137.5
HYBRID SWEEP,2048,10,0.7,gh_hmm_pageable,0.337,198.99
HYBRID SWEEP,2048,10,0.7,gh_hmm_pageable_cuda_init,0.039,1699.75
HYBRID SWEEP,2048,10,0.8,um_migrate,4.566,14.7
HYBRID SWEEP,2048,10,0.8,um_migrate_no_prefetch,3.505,19.14
HYBRID SWEEP,2048,10,0.8,gh_hbm_shared,0.033,2042.02
HYBRID SWEEP,2048,10,0.8,gh_hbm_shared_no_prefetch,0.033,2059.26
HYBRID SWEEP,2048,10,0.8,gh_cpu_shared,0.3,223.8
HYBRID SWEEP,2048,10,0.8,gh_hmm_pageable,0.237,282.64
HYBRID SWEEP,2048,10,0.8,gh_hmm_pageable_cuda_init,0.032,2094.22
HYBRID SWEEP,4096,5,0.1,um_migrate,8.121,33.05
HYBRID SWEEP,4096,5,0.1,um_migrate_no_prefetch,6.17,43.51
HYBRID SWEEP,4096,5,0.1,gh_hbm_shared,0.255,1053.45
HYBRID SWEEP,4096,5,0.1,gh_hbm_shared_no_prefetch,0.254,1055.57
HYBRID SWEEP,4096,5,0.1,gh_cpu_shared,5.922,45.33
HYBRID SWEEP,4096,5,0.1,gh_hmm_pageable,4.944,54.29
HYBRID SWEEP,4096,5,0.1,gh_hmm_pageable_cuda_init,0.273,983.12
HYBRID SWEEP,4096,5,0.2,um_migrate,8.43,31.84
HYBRID SWEEP,4096,5,0.2,um_migrate_no_prefetch,6.448,41.63
HYBRID SWEEP,4096,5,0.2,gh_hbm_shared,0.234,1146.77
HYBRID SWEEP,4096,5,0.2,gh_hbm_shared_no_prefetch,0.239,1125.26
HYBRID SWEEP,4096,5,0.2,gh_cpu_shared,5.274,50.89
HYBRID SWEEP,4096,5,0.2,gh_hmm_pageable,5.196,51.67
HYBRID SWEEP,4096,5,0.2,gh_hmm_pageable_cuda_init,0.258,1041.73
HYBRID SWEEP,4096,5,0.3,um_migrate,8.558,31.37
HYBRID SWEEP,4096,5,0.3,um_migrate_no_prefetch,6.695,40.1
HYBRID SWEEP,4096,5,0.3,gh_hbm_shared,0.211,1273.74
HYBRID SWEEP,4096,5,0.3,gh_hbm_shared_no_prefetch,0.208,1287.82
HYBRID SWEEP,4096,5,0.3,gh_cpu_shared,4.606,58.28
HYBRID SWEEP,4096,5,0.3,gh_hmm_pageable,5.354,50.14
HYBRID SWEEP,4096,5,0.3,gh_hmm_pageable_cuda_init,0.23,1166.8
HYBRID SWEEP,4096,5,0.4,um_migrate,8.848,30.34
HYBRID SWEEP,4096,5,0.4,um_migrate_no_prefetch,6.73,39.89
HYBRID SWEEP,4096,5,0.4,gh_hbm_shared,0.191,1404.75
HYBRID SWEEP,4096,5,0.4,gh_hbm_shared_no_prefetch,0.194,1383.89
HYBRID SWEEP,4096,5,0.4,gh_cpu_shared,4.176,64.28
HYBRID SWEEP,4096,5,0.4,gh_hmm_pageable,4.545,59.06
HYBRID SWEEP,4096,5,0.4,gh_hmm_pageable_cuda_init,0.211,1269.35
HYBRID SWEEP,4096,5,0.5,um_migrate,6.321,42.47
HYBRID SWEEP,4096,5,0.5,um_migrate_no_prefetch,5.589,48.03
HYBRID SWEEP,4096,5,0.5,gh_hbm_shared,0.162,1656.85
