STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     End2End(ms)   FullE2E(ms)  
explicit               1024     2     10      10     72       0.080      --           0.037      --           0.015      --         0.024      --           0.068         2.120        
explicit               1024     2     10      25     72       0.081      --           0.038      --           0.015      --         0.026      --           0.075         2.211        
explicit               1024     2     10      30     72       0.076      --           0.038      --           0.014      --         0.053      --           0.101         2.184        
explicit               1024     2     10      50     72       0.081      --           0.040      --           0.014      --         0.031      --           0.083         2.253        
explicit               1024     2     10      70     72       0.078      --           0.045      --           0.013      --         0.031      --           0.085         2.222        
explicit               1024     2     10      80     72       0.084      --           0.046      --           0.013      --         0.032      --           0.088         2.208        
um_migrate             1024     2     10      0      72       --         1.532        --         0.147        0.015      --         0.000      --           0.029         1.863        
um_migrate             1024     2     10      10     72       --         1.547        --         0.126        3.584      --         0.321      --           5.449         19.885       
um_migrate             1024     2     10      25     72       --         1.549        --         0.132        3.134      --         0.374      --           4.604         17.260       
um_migrate             1024     2     10      30     72       --         1.545        --         0.107        2.974      --         0.342      --           4.634         17.531       
um_migrate             1024     2     10      50     72       --         1.523        --         0.107        1.973      --         0.314      --           3.091         14.324       
um_migrate             1024     2     10      70     72       --         1.504        --         0.106        0.960      --         0.193      --           1.526         10.336       
um_migrate             1024     2     10      80     72       --         1.501        --         0.083        0.514      --         0.142      --           0.818         9.154        
gh_hbm_shared          1024     2     10      0      72       --         0.192        --         --           0.014      --         0.000      --           0.029         0.394        
gh_hbm_shared          1024     2     10      10     72       --         0.195        --         --           0.018      --         0.026      --           0.187         2.097        
gh_hbm_shared          1024     2     10      25     72       --         0.201        --         --           0.015      --         0.026      --           0.171         2.089        
gh_hbm_shared          1024     2     10      30     72       --         0.236        --         --           0.016      --         0.027      --           0.168         2.140        
gh_hbm_shared          1024     2     10      50     72       --         0.214        --         --           0.015      --         0.029      --           0.147         2.006        
gh_hbm_shared          1024     2     10      70     72       --         0.188        --         --           0.017      --         0.031      --           0.125         1.978        
gh_hbm_shared          1024     2     10      80     72       --         0.196        --         --           0.016      --         0.042      --           0.127         1.966        
gh_cpu_shared          1024     2     10      0      72       --         --           --         --           0.131      --         0.000      --           0.146         0.568        
gh_cpu_shared          1024     2     10      10     72       --         --           --         --           0.118      --         0.094      --           0.249         2.027        
gh_cpu_shared          1024     2     10      25     72       --         --           --         --           0.100      --         0.028      --           0.185         1.885        
gh_cpu_shared          1024     2     10      30     72       --         --           --         --           0.096      --         0.026      --           0.179         1.877        
gh_cpu_shared          1024     2     10      50     72       --         --           --         --           0.072      --         0.028      --           0.148         1.820        
gh_cpu_shared          1024     2     10      70     72       --         --           --         --           0.049      --         0.029      --           0.119         1.731        
gh_cpu_shared          1024     2     10      80     72       --         --           --         --           0.038      --         0.028      --           0.105         1.677        
gh_hmm_pageable        1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           0.029         127.382      
gh_hmm_pageable        1024     2     10      10     72       --         --           --         --           0.018      --         0.024      --           0.115         127.617      
gh_hmm_pageable        1024     2     10      25     72       --         --           --         --           0.018      --         0.027      --           0.109         128.242      
gh_hmm_pageable        1024     2     10      30     72       --         --           --         --           0.017      --         0.025      --           0.105         128.629      
gh_hmm_pageable        1024     2     10      50     72       --         --           --         --           0.016      --         0.029      --           0.097         125.442      
gh_hmm_pageable        1024     2     10      70     72       --         --           --         --           0.016      --         0.030      --           0.088         126.822      
gh_hmm_pageable        1024     2     10      80     72       --         --           --         --           0.015      --         0.029      --           0.079         122.715      
gh_hmm_pageable_gpu_init 1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           0.030         0.120        
gh_hmm_pageable_gpu_init 1024     2     10      10     72       --         --           --         --           0.018      --         0.024      --           0.114         1.726        
gh_hmm_pageable_gpu_init 1024     2     10      25     72       --         --           --         --           0.018      --         0.027      --           0.110         1.715        
gh_hmm_pageable_gpu_init 1024     2     10      30     72       --         --           --         --           0.018      --         0.027      --           0.106         1.671        
gh_hmm_pageable_gpu_init 1024     2     10      50     72       --         --           --         --           0.017      --         0.029      --           0.098         1.637        
gh_hmm_pageable_gpu_init 1024     2     10      70     72       --         --           --         --           0.016      --         0.053      --           0.109         1.628        
gh_hmm_pageable_gpu_init 1024     2     10      80     72       --         --           --         --           0.016      --         0.031      --           0.084         1.607        
um_migrate_no_prefetch 1024     2     10      0      72       --         --           --         --           0.014      --         0.000      --           0.029         4.036        
um_migrate_no_prefetch 1024     2     10      10     72       --         --           --         --           3.805      --         0.325      --           5.635         18.499       
um_migrate_no_prefetch 1024     2     10      25     72       --         --           --         --           3.448      --         0.382      --           5.033         16.156       
um_migrate_no_prefetch 1024     2     10      30     72       --         --           --         --           3.077      --         0.313      --           4.709         14.571       
um_migrate_no_prefetch 1024     2     10      50     72       --         --           --         --           2.576      --         0.341      --           3.799         12.354       
um_migrate_no_prefetch 1024     2     10      70     72       --         --           --         --           0.590      --         0.209      --           0.947         7.800        
um_migrate_no_prefetch 1024     2     10      80     72       --         --           --         --           0.304      --         0.095      --           0.520         5.743        
gh_hbm_shared_no_prefetch 1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           0.029         0.514        
gh_hbm_shared_no_prefetch 1024     2     10      10     72       --         --           --         --           0.017      --         0.026      --           0.186         2.017        
gh_hbm_shared_no_prefetch 1024     2     10      25     72       --         --           --         --           0.018      --         0.028      --           0.171         2.111        
gh_hbm_shared_no_prefetch 1024     2     10      30     72       --         --           --         --           0.018      --         0.026      --           0.165         1.922        
gh_hbm_shared_no_prefetch 1024     2     10      50     72       --         --           --         --           0.017      --         0.031      --           0.147         1.894        
gh_hbm_shared_no_prefetch 1024     2     10      70     72       --         --           --         --           0.017      --         0.030      --           0.125         1.774        
gh_hbm_shared_no_prefetch 1024     2     10      80     72       --         --           --         --           0.015      --         0.031      --           0.112         1.709        
----------------------------------------------------------------------------------------------------------------
explicit               2048     1     10      0      72       0.197      --           0.153      --           0.026      --         0.000      --           0.034         0.533        
explicit               2048     1     10      10     72       0.195      --           0.122      --           0.025      --         0.018      --           0.072         2.402        
explicit               2048     1     10      25     72       0.201      --           0.130      --           0.022      --         0.021      --           0.074         2.461        
explicit               2048     1     10      30     72       0.196      --           0.135      --           0.021      --         0.021      --           0.072         2.457        
explicit               2048     1     10      50     72       0.203      --           0.149      --           0.018      --         0.027      --           0.081         2.537        
explicit               2048     1     10      70     72       0.200      --           0.163      --           0.016      --         0.052      --           0.108         2.684        
explicit               2048     1     10      80     72       0.200      --           0.174      --           0.016      --         0.042      --           0.099         2.642        
um_migrate             2048     1     10      0      72       --         5.459        --         0.386        0.026      --         0.000      --           0.034         6.046        
um_migrate             2048     1     10      10     72       --         5.457        --         0.347        6.607      --         0.247      --           9.808         35.132       
um_migrate             2048     1     10      25     72       --         5.471        --         0.330        5.555      --         0.285      --           8.290         29.100       
um_migrate             2048     1     10      30     72       --         5.439        --         0.277        5.411      --         0.219      --           7.928         30.672       
um_migrate             2048     1     10      50     72       --         5.465        --         0.242        3.842      --         0.236      --           5.754         25.369       
um_migrate             2048     1     10      70     72       --         5.458        --         0.179        2.243      --         0.254      --           3.496         19.386       
um_migrate             2048     1     10      80     72       --         5.445        --         0.154        1.830      --         0.246      --           2.645         17.309       
gh_hbm_shared          2048     1     10      0      72       --         0.307        --         --           0.027      --         0.000      --           0.034         0.546        
gh_hbm_shared          2048     1     10      10     72       --         0.308        --         --           0.025      --         0.044      --           0.215         2.248        
gh_hbm_shared          2048     1     10      25     72       --         0.317        --         --           0.023      --         0.051      --           0.199         2.319        
gh_hbm_shared          2048     1     10      30     72       --         0.375        --         --           0.022      --         0.051      --           0.193         2.335        
gh_hbm_shared          2048     1     10      50     72       --         0.317        --         --           0.017      --         0.085      --           0.205         2.277        
gh_hbm_shared          2048     1     10      70     72       --         0.312        --         --           0.018      --         0.119      --           0.218         2.300        
gh_hbm_shared          2048     1     10      80     72       --         0.356        --         --           0.018      --         0.038      --           0.126         2.315        
gh_cpu_shared          2048     1     10      0      72       --         --           --         --           0.249      --         0.000      --           0.257         0.983        
gh_cpu_shared          2048     1     10      10     72       --         --           --         --           0.227      --         0.194      --           0.316         2.162        
gh_cpu_shared          2048     1     10      25     72       --         --           --         --           0.193      --         0.190      --           0.296         2.083        
