STENCIL SYNERGY (Manual split) RESULTS
----------------------------------------------------------------------------------------------------------------
Mode                   N        Step  Iters   K%     Threads  H2D(ms)    UM->Dev(ms)  D2H(ms)    UM->Host(ms) GPU(ms)    GPU(GB/s)  CPU(ms)    CPU(GB/s)     Warmup(ms)    End2End(ms)   FullE2E(ms)  
gh_hbm_shared_no_prefetch 1024     1     10      50     72       --         --           --         --           0.009      --         0.019      --           1.708         0.079         1.787        
gh_hbm_shared_no_prefetch 1024     1     10      70     72       --         --           --         --           0.009      --         0.014      --           1.569         0.063         1.632        
gh_hbm_shared_no_prefetch 1024     1     10      80     72       --         --           --         --           0.008      --         0.015      --           1.550         0.059         1.609        
----------------------------------------------------------------------------------------------------------------
explicit               1024     2     10      0      72       0.083      --           0.055      --           0.014      --         0.000      --           0.168         0.029         0.335        
explicit               1024     2     10      10     72       0.080      --           0.037      --           0.015      --         0.023      --           1.977         0.067         2.162        
explicit               1024     2     10      25     72       0.080      --           0.038      --           0.014      --         0.026      --           1.966         0.072         2.156        
explicit               1024     2     10      30     72       0.083      --           0.037      --           0.014      --         0.027      --           2.004         0.075         2.199        
explicit               1024     2     10      50     72       0.082      --           0.041      --           0.014      --         0.029      --           2.064         0.083         2.270        
explicit               1024     2     10      70     72       0.075      --           0.046      --           0.014      --         0.031      --           1.976         0.086         2.183        
explicit               1024     2     10      80     72       0.081      --           0.046      --           0.014      --         0.033      --           2.047         0.093         2.267        
um_migrate             1024     2     10      0      72       --         1.501        --         0.152        0.014      --         0.000      --           0.155         0.029         1.837        
um_migrate             1024     2     10      10     72       --         1.481        --         0.127        3.437      --         0.449      --           12.026        5.227         18.861       
um_migrate             1024     2     10      25     72       --         1.486        --         0.123        3.256      --         0.344      --           11.613        4.867         18.089       
um_migrate             1024     2     10      30     72       --         1.481        --         0.104        2.985      --         0.349      --           10.902        4.580         17.067       
um_migrate             1024     2     10      50     72       --         1.487        --         0.116        2.001      --         0.295      --           8.925         3.137         13.665       
um_migrate             1024     2     10      70     72       --         1.492        --         0.112        1.345      --         0.286      --           6.883         2.012         10.499       
um_migrate             1024     2     10      80     72       --         1.481        --         0.095        0.623      --         0.145      --           5.698         0.919         8.193        
gh_hbm_shared          1024     2     10      0      72       --         0.201        --         --           0.015      --         0.000      --           0.166         0.029         0.396        
gh_hbm_shared          1024     2     10      10     72       --         0.245        --         --           0.018      --         0.025      --           1.766         0.186         2.197        
gh_hbm_shared          1024     2     10      25     72       --         0.209        --         --           0.017      --         0.027      --           1.702         0.170         2.082        
gh_hbm_shared          1024     2     10      30     72       --         0.189        --         --           0.017      --         0.025      --           1.710         0.163         2.062        
gh_hbm_shared          1024     2     10      50     72       --         0.220        --         --           0.017      --         0.030      --           1.717         0.146         2.082        
gh_hbm_shared          1024     2     10      70     72       --         0.190        --         --           0.018      --         0.030      --           1.660         0.126         1.976        
gh_hbm_shared          1024     2     10      80     72       --         0.200        --         --           0.016      --         0.032      --           1.617         0.117         1.934        
gh_cpu_shared          1024     2     10      0      72       --         --           --         --           0.129      --         0.000      --           0.436         0.145         0.581        
gh_cpu_shared          1024     2     10      10     72       --         --           --         --           0.115      --         0.037      --           1.958         0.206         2.163        
gh_cpu_shared          1024     2     10      25     72       --         --           --         --           0.099      --         0.027      --           1.706         0.183         1.889        
gh_cpu_shared          1024     2     10      30     72       --         --           --         --           0.095      --         0.026      --           1.751         0.178         1.929        
gh_cpu_shared          1024     2     10      50     72       --         --           --         --           0.071      --         0.030      --           1.693         0.147         1.840        
gh_cpu_shared          1024     2     10      70     72       --         --           --         --           0.049      --         0.029      --           1.542         0.116         1.658        
gh_cpu_shared          1024     2     10      80     72       --         --           --         --           0.038      --         0.029      --           1.632         0.105         1.737        
gh_hmm_pageable        1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           124.271       0.030         124.300      
gh_hmm_pageable        1024     2     10      10     72       --         --           --         --           0.018      --         0.024      --           127.443       0.114         127.557      
gh_hmm_pageable        1024     2     10      25     72       --         --           --         --           0.017      --         0.024      --           125.210       0.108         125.318      
gh_hmm_pageable        1024     2     10      30     72       --         --           --         --           0.017      --         0.024      --           125.891       0.105         125.996      
gh_hmm_pageable        1024     2     10      50     72       --         --           --         --           0.017      --         0.028      --           126.419       0.099         126.518      
gh_hmm_pageable        1024     2     10      70     72       --         --           --         --           0.015      --         0.028      --           124.675       0.082         124.757      
gh_hmm_pageable        1024     2     10      80     72       --         --           --         --           0.016      --         0.029      --           129.326       0.082         129.408      
gh_hmm_pageable_gpu_init 1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           0.087         0.029         0.116        
gh_hmm_pageable_gpu_init 1024     2     10      10     72       --         --           --         --           0.018      --         0.024      --           1.705         0.115         1.820        
gh_hmm_pageable_gpu_init 1024     2     10      25     72       --         --           --         --           0.017      --         0.026      --           1.586         0.108         1.695        
gh_hmm_pageable_gpu_init 1024     2     10      30     72       --         --           --         --           0.017      --         0.026      --           1.570         0.106         1.676        
gh_hmm_pageable_gpu_init 1024     2     10      50     72       --         --           --         --           0.016      --         0.029      --           1.819         0.099         1.918        
gh_hmm_pageable_gpu_init 1024     2     10      70     72       --         --           --         --           0.016      --         0.029      --           1.596         0.088         1.684        
gh_hmm_pageable_gpu_init 1024     2     10      80     72       --         --           --         --           0.015      --         0.059      --           1.830         0.111         1.941        
um_migrate_no_prefetch 1024     2     10      0      72       --         --           --         --           0.015      --         0.000      --           3.630         0.029         3.659        
um_migrate_no_prefetch 1024     2     10      10     72       --         --           --         --           3.953      --         0.351      --           12.813        5.761         18.574       
um_migrate_no_prefetch 1024     2     10      25     72       --         --           --         --           3.269      --         0.416      --           10.764        4.794         15.558       
um_migrate_no_prefetch 1024     2     10      30     72       --         --           --         --           3.370      --         0.480      --           10.578        4.877         15.455       
um_migrate_no_prefetch 1024     2     10      50     72       --         --           --         --           2.583      --         0.295      --           9.372         3.790         13.162       
um_migrate_no_prefetch 1024     2     10      70     72       --         --           --         --           1.120      --         0.309      --           6.758         1.782         8.540        
um_migrate_no_prefetch 1024     2     10      80     72       --         --           --         --           0.342      --         0.117      --           5.982         0.592         6.574        
gh_hbm_shared_no_prefetch 1024     2     10      0      72       --         --           --         --           0.014      --         0.000      --           0.512         0.029         0.541        
gh_hbm_shared_no_prefetch 1024     2     10      10     72       --         --           --         --           0.017      --         0.024      --           1.801         0.184         1.985        
gh_hbm_shared_no_prefetch 1024     2     10      25     72       --         --           --         --           0.017      --         0.028      --           1.990         0.172         2.162        
gh_hbm_shared_no_prefetch 1024     2     10      30     72       --         --           --         --           0.018      --         0.026      --           1.776         0.165         1.941        
gh_hbm_shared_no_prefetch 1024     2     10      50     72       --         --           --         --           0.016      --         0.029      --           1.877         0.146         2.023        
gh_hbm_shared_no_prefetch 1024     2     10      70     72       --         --           --         --           0.017      --         0.031      --           1.694         0.124         1.818        
gh_hbm_shared_no_prefetch 1024     2     10      80     72       --         --           --         --           0.017      --         0.032      --           1.631         0.117         1.748        
----------------------------------------------------------------------------------------------------------------
explicit               2048     1     10      0      72       0.199      --           0.162      --           0.026      --         0.000      --           0.151         0.033         0.545        
explicit               2048     1     10      10     72       0.198      --           0.122      --           0.025      --         0.017      --           2.064         0.073         2.458        
explicit               2048     1     10      25     72       0.204      --           0.132      --           0.022      --         0.021      --           2.042         0.075         2.452        
explicit               2048     1     10      30     72       0.203      --           0.136      --           0.021      --         0.021      --           2.078         0.074         2.491        
explicit               2048     1     10      50     72       0.203      --           0.151      --           0.017      --         0.028      --           2.154         0.081         2.589        
explicit               2048     1     10      70     72       0.205      --           0.168      --           0.016      --         0.033      --           2.191         0.089         2.653        
explicit               2048     1     10      80     72       0.205      --           0.174      --           0.016      --         0.043      --           2.186         0.101         2.666        
um_migrate             2048     1     10      0      72       --         5.472        --         0.409        0.026      --         0.000      --           0.162         0.034         6.077        
um_migrate             2048     1     10      10     72       --         5.468        --         0.333        6.885      --         0.235      --           21.037        10.083        36.921       
um_migrate             2048     1     10      25     72       --         5.475        --         0.292        5.657      --         0.228      --           16.500        8.397         30.664       
um_migrate             2048     1     10      30     72       --         5.514        --         0.290        5.532      --         0.236      --           17.050        8.063         30.916       
um_migrate             2048     1     10      50     72       --         5.479        --         0.230        3.870      --         0.254      --           13.330        5.751         24.790       
um_migrate             2048     1     10      70     72       --         5.488        --         0.164        2.268      --         0.242      --           9.601         3.499         18.753       
um_migrate             2048     1     10      80     72       --         5.457        --         0.140        1.986      --         0.258      --           9.098         2.793         17.488       
gh_hbm_shared          2048     1     10      0      72       --         0.321        --         --           0.026      --         0.000      --           0.206         0.033         0.561        
gh_hbm_shared          2048     1     10      10     72       --         0.369        --         --           0.025      --         0.060      --           1.968         0.229         2.566        
gh_hbm_shared          2048     1     10      25     72       --         0.315        --         --           0.022      --         0.049      --           1.791         0.196         2.302        
gh_hbm_shared          2048     1     10      30     72       --         0.310        --         --           0.021      --         0.052      --           1.743         0.194         2.247        
gh_hbm_shared          2048     1     10      50     72       --         0.302        --         --           0.017      --         0.053      --           1.770         0.171         2.243        
gh_hbm_shared          2048     1     10      70     72       --         0.349        --         --           0.017      --         0.051      --           1.743         0.147         2.239        
gh_hbm_shared          2048     1     10      80     72       --         0.363        --         --           0.017      --         0.036      --           1.791         0.120         2.274        
gh_cpu_shared          2048     1     10      0      72       --         --           --         --           0.242      --         0.000      --           0.727         0.250         0.977        
gh_cpu_shared          2048     1     10      10     72       --         --           --         --           0.223      --         0.159      --           1.862         0.311         2.173        
gh_cpu_shared          2048     1     10      25     72       --         --           --         --           0.191      --         0.180      --           1.861         0.290         2.151        
gh_cpu_shared          2048     1     10      30     72       --         --           --         --           0.182      --         0.215      --           1.793         0.305         2.098        
gh_cpu_shared          2048     1     10      50     72       --         --           --         --           0.134      --         0.227      --           1.844         0.309         2.153        
gh_cpu_shared          2048     1     10      70     72       --         --           --         --           0.080      --         0.044      --           1.693         0.147         1.840        
gh_cpu_shared          2048     1     10      80     72       --         --           --         --           0.062      --         0.063      --           1.653         0.144         1.797        
gh_hmm_pageable        2048     1     10      0      72       --         --           --         --           0.028      --         0.000      --           137.901       0.036         137.937      
gh_hmm_pageable        2048     1     10      10     72       --         --           --         --           0.028      --         0.046      --           136.571       0.145         136.717      
gh_hmm_pageable        2048     1     10      25     72       --         --           --         --           0.024      --         0.028      --           138.930       0.112         139.042      
gh_hmm_pageable        2048     1     10      30     72       --         --           --         --           0.022      --         0.029      --           140.004       0.106         140.110      
gh_hmm_pageable        2048     1     10      50     72       --         --           --         --           0.019      --         0.028      --           132.132       0.094         132.226      
gh_hmm_pageable        2048     1     10      70     72       --         --           --         --           0.017      --         0.028      --           142.278       0.082         142.360      
gh_hmm_pageable        2048     1     10      80     72       --         --           --         --           0.017      --         0.033      --           140.636       0.080         140.716      
gh_hmm_pageable_gpu_init 2048     1     10      0      72       --         --           --         --           0.027      --         0.000      --           0.103         0.035         0.138        
gh_hmm_pageable_gpu_init 2048     1     10      10     72       --         --           --         --           0.028      --         0.046      --           1.605         0.139         1.744        
gh_hmm_pageable_gpu_init 2048     1     10      25     72       --         --           --         --           0.025      --         0.025      --           1.650         0.105         1.755        
gh_hmm_pageable_gpu_init 2048     1     10      30     72       --         --           --         --           0.024      --         0.033      --           1.619         0.111         1.730        
gh_hmm_pageable_gpu_init 2048     1     10      50     72       --         --           --         --           0.020      --         0.037      --           1.613         0.102         1.715        
gh_hmm_pageable_gpu_init 2048     1     10      70     72       --         --           --         --           0.018      --         0.038      --           1.696         0.091         1.787        
gh_hmm_pageable_gpu_init 2048     1     10      80     72       --         --           --         --           0.018      --         0.056      --           1.703         0.104         1.807        
um_migrate_no_prefetch 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           12.998        0.034         13.032       
um_migrate_no_prefetch 2048     1     10      10     72       --         --           --         --           6.870      --         0.235      --           20.966        10.041        31.006       
um_migrate_no_prefetch 2048     1     10      25     72       --         --           --         --           5.859      --         0.253      --           16.946        8.602         25.549       
um_migrate_no_prefetch 2048     1     10      30     72       --         --           --         --           5.371      --         0.238      --           16.660        7.896         24.556       
um_migrate_no_prefetch 2048     1     10      50     72       --         --           --         --           4.284      --         0.288      --           12.666        6.153         18.819       
um_migrate_no_prefetch 2048     1     10      70     72       --         --           --         --           2.115      --         0.263      --           6.852         3.197         10.049       
um_migrate_no_prefetch 2048     1     10      80     72       --         --           --         --           1.933      --         0.256      --           6.587         2.741         9.328        
gh_hbm_shared_no_prefetch 2048     1     10      0      72       --         --           --         --           0.026      --         0.000      --           0.918         0.033         0.951        
gh_hbm_shared_no_prefetch 2048     1     10      10     72       --         --           --         --           0.025      --         0.044      --           1.964         0.210         2.174        
gh_hbm_shared_no_prefetch 2048     1     10      25     72       --         --           --         --           0.023      --         0.050      --           1.881         0.198         2.079        
gh_hbm_shared_no_prefetch 2048     1     10      30     72       --         --           --         --           0.021      --         0.050      --           1.841         0.190         2.031        
gh_hbm_shared_no_prefetch 2048     1     10      50     72       --         --           --         --           0.017      --         0.053      --           1.853         0.170         2.023        
gh_hbm_shared_no_prefetch 2048     1     10      70     72       --         --           --         --           0.017      --         0.049      --           1.826         0.146         1.973        
gh_hbm_shared_no_prefetch 2048     1     10      80     72       --         --           --         --           0.016      --         0.042      --           1.789         0.127         1.916        
----------------------------------------------------------------------------------------------------------------
explicit               2048     2     10      0      72       0.208      --           0.165      --           0.052      --         0.000      --           0.224         0.066         0.663        
explicit               2048     2     10      10     72       0.205      --           0.123      --           0.049      --         0.056      --           2.606         0.158         3.092        
explicit               2048     2     10      25     72       0.206      --           0.131      --           0.044      --         0.045      --           2.714         0.143         3.194        
explicit               2048     2     10      30     72       0.197      --           0.135      --           0.041      --         0.040      --           2.687         0.135         3.155        
explicit               2048     2     10      50     72       0.198      --           0.150      --           0.033      --         0.051      --           2.801         0.147         3.296        
explicit               2048     2     10      70     72       0.205      --           0.166      --           0.031      --         0.059      --           2.918         0.165         3.454        
explicit               2048     2     10      80     72       0.202      --           0.172      --           0.031      --         0.072      --           3.009         0.180         3.563        
um_migrate             2048     2     10      0      72       --         5.414        --         0.366        0.052      --         0.000      --           0.231         0.066         6.077        
um_migrate             2048     2     10      10     72       --         5.445        --         0.324        12.740     --         0.425      --           41.112        19.020        65.901       
um_migrate             2048     2     10      25     72       --         5.437        --         0.321        10.566     --         0.360      --           32.832        15.943        54.533       
um_migrate             2048     2     10      30     72       --         5.425        --         0.281        10.890     --         0.412      --           33.611        15.883        55.200       
um_migrate             2048     2     10      50     72       --         5.453        --         0.235        7.224      --         0.362      --           25.730        10.959        42.377       
um_migrate             2048     2     10      70     72       --         5.432        --         0.170        4.016      --         0.377      --           16.675        6.492         28.769       
um_migrate             2048     2     10      80     72       --         5.434        --         0.141        3.551      --         0.396      --           14.278        5.154         25.007       
gh_hbm_shared          2048     2     10      0      72       --         0.304        --         --           0.052      --         0.000      --           0.281         0.067         0.652        
gh_hbm_shared          2048     2     10      10     72       --         0.290        --         --           0.052      --         0.087      --           2.195         0.424         2.909        
gh_hbm_shared          2048     2     10      25     72       --         0.337        --         --           0.045      --         0.099      --           2.158         0.392         2.887        
gh_hbm_shared          2048     2     10      30     72       --         0.308        --         --           0.042      --         0.103      --           2.177         0.382         2.866        
