Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,6.872900,6.558946,7.449891
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,3.323830,3.226163,3.342308
Sequential,-1,3.356642,3.332326,3.361577
Sequential,-1,3.355006,3.334233,3.360171
Sequential,-1,3.353537,3.332716,3.357248
Sequential,-1,3.356446,3.332522,3.362466
Sequential,-1,3.354814,3.331131,3.360281
Sequential,-1,3.356164,3.332794,3.361946
Sequential,-1,3.357938,3.332860,3.364377
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,3.282648,3.189361,3.299100
Sequential,-1,3.311762,3.288878,3.316011
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,3.291362,3.197184,3.308793
Sequential,-1,3.293821,3.270201,3.298893
Sequential,-1,3.293246,3.272412,3.297177
Sequential,-1,3.292338,3.268754,3.296754
Sequential,-1,3.295638,3.272358,3.301449
Sequential,-1,3.296224,3.272787,3.303029
Sequential,-1,3.295610,3.270151,3.301214
Sequential,-1,3.293280,3.270163,3.296858
Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t
Sequential,-1,3.364149,3.267657,3.381897
Sequential,-1,3.382187,3.360392,3.385995
Sequential,-1,3.374279,3.352857,3.378799
Sequential,-1,3.373662,3.352010,3.377677
Sequential,-1,3.373412,3.351841,3.377152
