All_GPU,32,0.057816,0.029389,0.151620
All_GPU,48,0.062210,0.029900,0.178242
All_GPU,64,0.057822,0.029407,0.152061
All_GPU,128,0.058073,0.029403,0.152344
All_GPU,238,0.057903,0.029504,0.151711
All_GPU,512,0.057938,0.029400,0.151521
All_GPU,1024,0.057820,0.029394,0.151366
All_GPU,32,0.069779,0.029390,0.257693
All_GPU,48,0.071545,0.029891,0.177331
All_GPU,64,0.058268,0.029421,0.151502
All_GPU,128,0.067479,0.029408,0.151736
All_GPU,238,0.066033,0.029517,0.151801
All_GPU,512,0.067732,0.029405,0.151742
All_GPU,1024,0.058231,0.029410,0.151546
All_GPU,32,0.070283,0.029413,0.177077
All_GPU,48,0.069571,0.029900,0.174722
All_GPU,64,0.068932,0.029422,0.174624
All_GPU,128,0.070221,0.029418,0.173823
All_GPU,238,0.071003,0.029524,0.177101
All_GPU,512,0.060496,0.029405,0.169937
All_GPU,1024,0.069842,0.029418,0.177120
All_GPU,32,0.062722,0.029408,0.189290
All_GPU,48,0.071337,0.029902,0.177365
All_GPU,64,0.067307,0.029418,0.151495
All_GPU,128,0.057985,0.029414,0.151389
All_GPU,238,0.058187,0.029511,0.151677
All_GPU,512,0.058119,0.029402,0.151448
All_GPU,1024,0.058041,0.029416,0.151410
