mode,N,frac,t_end_2_end_ms,t_end_2_end_norm_frac0
um_migrate_no_prefetch,4096,0.400000,300.416000,0.973528
um_migrate_no_prefetch,4096,0.600000,356.433000,1.155056
um_migrate_no_prefetch,4096,0.800000,354.254000,1.147995
um_migrate_no_prefetch,4096,1.000000,274.345000,0.889042
um_migrate_no_prefetch,8192,0.000000,815.407000,1.000000
um_migrate_no_prefetch,8192,0.200000,807.379000,0.990155
um_migrate_no_prefetch,8192,0.400000,839.806000,1.029922
um_migrate_no_prefetch,8192,0.600000,1009.130000,1.237578
um_migrate_no_prefetch,8192,0.800000,1111.688000,1.363354
um_migrate_no_prefetch,8192,1.000000,750.314000,0.920171
