section,N,iters,frac,mode,kernel_ms,bandwidth_GBps
HYBRID SWEEP,2048,10,0.3,gh_hmm_pageable_cuda_init,0.066,1024.0
HYBRID SWEEP,2048,10,0.4,um_migrate,3.407,19.7
HYBRID SWEEP,2048,10,0.4,um_migrate_no_prefetch,2.35,28.56
HYBRID SWEEP,2048,10,0.4,gh_hbm_shared,3.298,20.35
HYBRID SWEEP,2048,10,0.4,gh_hbm_shared_no_prefetch,2.544,26.38
HYBRID SWEEP,2048,10,0.4,gh_cpu_shared,1.019,65.83
HYBRID SWEEP,2048,10,0.4,gh_hmm_pageable,1.503,44.64
HYBRID SWEEP,2048,10,0.4,gh_hmm_pageable_cuda_init,0.059,1143.24
HYBRID SWEEP,2048,10,0.5,um_migrate,2.415,27.78
HYBRID SWEEP,2048,10,0.5,um_migrate_no_prefetch,1.624,41.33
HYBRID SWEEP,2048,10,0.5,gh_hbm_shared,2.331,28.79
HYBRID SWEEP,2048,10,0.5,gh_hbm_shared_no_prefetch,1.612,41.63
HYBRID SWEEP,2048,10,0.5,gh_cpu_shared,0.829,80.92
HYBRID SWEEP,2048,10,0.5,gh_hmm_pageable,1.345,49.89
HYBRID SWEEP,2048,10,0.5,gh_hmm_pageable_cuda_init,0.05,1332.96
HYBRID SWEEP,2048,10,0.7,um_migrate,5.039,13.32
HYBRID SWEEP,2048,10,0.7,um_migrate_no_prefetch,3.112,21.57
HYBRID SWEEP,2048,10,0.7,gh_hbm_shared,4.279,15.68
HYBRID SWEEP,2048,10,0.7,gh_hbm_shared_no_prefetch,3.095,21.68
HYBRID SWEEP,2048,10,0.7,gh_cpu_shared,0.487,137.91
HYBRID SWEEP,2048,10,0.7,gh_hmm_pageable,0.397,168.93
HYBRID SWEEP,2048,10,0.7,gh_hmm_pageable_cuda_init,0.038,1777.55
HYBRID SWEEP,2048,10,0.8,um_migrate,4.211,15.94
HYBRID SWEEP,2048,10,0.8,um_migrate_no_prefetch,3.705,18.11
HYBRID SWEEP,2048,10,0.8,gh_hbm_shared,4.609,14.56
HYBRID SWEEP,2048,10,0.8,gh_hbm_shared_no_prefetch,3.341,20.09
HYBRID SWEEP,2048,10,0.8,gh_cpu_shared,0.325,206.63
HYBRID SWEEP,2048,10,0.8,gh_hmm_pageable,0.278,241.58
HYBRID SWEEP,2048,10,0.8,gh_hmm_pageable_cuda_init,0.033,2019.99
HYBRID SWEEP,4096,5,0.1,um_migrate,7.885,34.05
HYBRID SWEEP,4096,5,0.1,um_migrate_no_prefetch,6.08,44.15
HYBRID SWEEP,4096,5,0.1,gh_hbm_shared,8.013,33.5
HYBRID SWEEP,4096,5,0.1,gh_hbm_shared_no_prefetch,6.386,42.03
HYBRID SWEEP,4096,5,0.1,gh_cpu_shared,6.674,40.22
HYBRID SWEEP,4096,5,0.1,gh_hmm_pageable,9.486,28.3
HYBRID SWEEP,4096,5,0.1,gh_hmm_pageable_cuda_init,0.275,975.12
HYBRID SWEEP,4096,5,0.2,um_migrate,8.202,32.73
HYBRID SWEEP,4096,5,0.2,um_migrate_no_prefetch,5.874,45.7
HYBRID SWEEP,4096,5,0.2,gh_hbm_shared,8.151,32.93
HYBRID SWEEP,4096,5,0.2,gh_hbm_shared_no_prefetch,6.136,43.75
HYBRID SWEEP,4096,5,0.2,gh_cpu_shared,5.667,47.36
HYBRID SWEEP,4096,5,0.2,gh_hmm_pageable,9.178,29.25
HYBRID SWEEP,4096,5,0.2,gh_hmm_pageable_cuda_init,0.251,1071.42
HYBRID SWEEP,4096,5,0.3,um_migrate,7.936,33.83
HYBRID SWEEP,4096,5,0.3,um_migrate_no_prefetch,5.74,46.77
HYBRID SWEEP,4096,5,0.3,gh_hbm_shared,8.453,31.76
HYBRID SWEEP,4096,5,0.3,gh_hbm_shared_no_prefetch,5.846,45.92
HYBRID SWEEP,4096,5,0.3,gh_cpu_shared,4.913,54.64
HYBRID SWEEP,4096,5,0.3,gh_hmm_pageable,5.634,47.64
HYBRID SWEEP,4096,5,0.3,gh_hmm_pageable_cuda_init,0.231,1161.12
HYBRID SWEEP,4096,5,0.4,um_migrate,8.59,31.25
HYBRID SWEEP,4096,5,0.4,um_migrate_no_prefetch,6.631,40.48
HYBRID SWEEP,4096,5,0.4,gh_hbm_shared,8.379,32.04
HYBRID SWEEP,4096,5,0.4,gh_hbm_shared_no_prefetch,7.106,37.77
HYBRID SWEEP,4096,5,0.4,gh_cpu_shared,4.114,65.25
HYBRID SWEEP,4096,5,0.4,gh_hmm_pageable,4.984,53.86
HYBRID SWEEP,4096,5,0.4,gh_hmm_pageable_cuda_init,0.202,1329.84
HYBRID SWEEP,4096,5,0.5,um_migrate,6.65,40.36
HYBRID SWEEP,4096,5,0.5,um_migrate_no_prefetch,5.669,47.35
HYBRID SWEEP,4096,5,0.5,gh_hbm_shared,6.926,38.76
HYBRID SWEEP,4096,5,0.5,gh_hbm_shared_no_prefetch,5.942,45.18
HYBRID SWEEP,4096,5,0.5,gh_cpu_shared,3.571,75.18
HYBRID SWEEP,4096,5,0.5,gh_hmm_pageable,4.349,61.72
HYBRID SWEEP,4096,5,0.5,gh_hmm_pageable_cuda_init,0.181,1482.14
HYBRID SWEEP,4096,5,0.7,um_migrate,9.139,29.37
HYBRID SWEEP,4096,5,0.7,um_migrate_no_prefetch,8.149,32.94
HYBRID SWEEP,4096,5,0.7,gh_hbm_shared,10.431,25.73
HYBRID SWEEP,4096,5,0.7,gh_hbm_shared_no_prefetch,8.472,31.69
HYBRID SWEEP,4096,5,0.7,gh_cpu_shared,2.027,132.45
HYBRID SWEEP,4096,5,0.7,gh_hmm_pageable,2.113,127.06
HYBRID SWEEP,4096,5,0.7,gh_hmm_pageable_cuda_init,0.12,2235.29
HYBRID SWEEP,4096,5,0.8,um_migrate,10.381,25.86
HYBRID SWEEP,4096,5,0.8,um_migrate_no_prefetch,11.695,22.95
HYBRID SWEEP,4096,5,0.8,gh_hbm_shared,10.775,24.91
HYBRID SWEEP,4096,5,0.8,gh_hbm_shared_no_prefetch,10.105,26.56
HYBRID SWEEP,4096,5,0.8,gh_cpu_shared,1.503,178.59
HYBRID SWEEP,4096,5,0.8,gh_hmm_pageable,1.463,183.42
HYBRID SWEEP,4096,5,0.8,gh_hmm_pageable_cuda_init,0.088,3059.75
HYBRID SWEEP,4096,10,0.1,um_migrate,7.417,36.19
HYBRID SWEEP,4096,10,0.1,um_migrate_no_prefetch,6.323,42.45
HYBRID SWEEP,4096,10,0.1,gh_hbm_shared,7.838,34.25
HYBRID SWEEP,4096,10,0.1,gh_hbm_shared_no_prefetch,6.519,41.18
HYBRID SWEEP,4096,10,0.1,gh_cpu_shared,6.325,42.44
HYBRID SWEEP,4096,10,0.1,gh_hmm_pageable,6.686,40.15
HYBRID SWEEP,4096,10,0.1,gh_hmm_pageable_cuda_init,0.272,987.62
HYBRID SWEEP,4096,10,0.2,um_migrate,8.131,33.01
HYBRID SWEEP,4096,10,0.2,um_migrate_no_prefetch,6.908,38.86
HYBRID SWEEP,4096,10,0.2,gh_hbm_shared,7.921,33.89
HYBRID SWEEP,4096,10,0.2,gh_hbm_shared_no_prefetch,6.843,39.23
HYBRID SWEEP,4096,10,0.2,gh_cpu_shared,5.895,45.53
HYBRID SWEEP,4096,10,0.2,gh_hmm_pageable,6.564,40.89
HYBRID SWEEP,4096,10,0.2,gh_hmm_pageable_cuda_init,0.247,1085.12
HYBRID SWEEP,4096,10,0.3,um_migrate,7.586,35.38
HYBRID SWEEP,4096,10,0.3,um_migrate_no_prefetch,6.61,40.61
HYBRID SWEEP,4096,10,0.3,gh_hbm_shared,8.125,33.04
HYBRID SWEEP,4096,10,0.3,gh_hbm_shared_no_prefetch,6.967,38.53
HYBRID SWEEP,4096,10,0.3,gh_cpu_shared,5.051,53.15
HYBRID SWEEP,4096,10,0.3,gh_hmm_pageable,5.26,51.03
HYBRID SWEEP,4096,10,0.3,gh_hmm_pageable_cuda_init,0.223,1202.36
HYBRID SWEEP,4096,10,0.4,um_migrate,7.601,35.31
HYBRID SWEEP,4096,10,0.4,um_migrate_no_prefetch,7.594,35.35
HYBRID SWEEP,4096,10,0.4,gh_hbm_shared,8.655,31.01
HYBRID SWEEP,4096,10,0.4,gh_hbm_shared_no_prefetch,7.538,35.61
HYBRID SWEEP,4096,10,0.4,gh_cpu_shared,4.194,64.01
HYBRID SWEEP,4096,10,0.4,gh_hmm_pageable,4.565,58.8
HYBRID SWEEP,4096,10,0.4,gh_hmm_pageable_cuda_init,0.202,1329.48
HYBRID SWEEP,4096,10,0.5,um_migrate,6.891,38.95
HYBRID SWEEP,4096,10,0.5,um_migrate_no_prefetch,6.166,43.53
HYBRID SWEEP,4096,10,0.5,gh_hbm_shared,6.669,40.25
HYBRID SWEEP,4096,10,0.5,gh_hbm_shared_no_prefetch,6.117,43.88
HYBRID SWEEP,4096,10,0.5,gh_cpu_shared,3.563,75.35
HYBRID SWEEP,4096,10,0.5,gh_hmm_pageable,5.47,49.08
HYBRID SWEEP,4096,10,0.5,gh_hmm_pageable_cuda_init,0.176,1527.76
HYBRID SWEEP,4096,10,0.7,um_migrate,9.457,28.39
HYBRID SWEEP,4096,10,0.7,um_migrate_no_prefetch,9.172,29.27
HYBRID SWEEP,4096,10,0.7,gh_hbm_shared,9.318,28.81
HYBRID SWEEP,4096,10,0.7,gh_hbm_shared_no_prefetch,8.776,30.59
HYBRID SWEEP,4096,10,0.7,gh_cpu_shared,2.201,121.94
HYBRID SWEEP,4096,10,0.7,gh_hmm_pageable,1.2,223.69
HYBRID SWEEP,4096,10,0.7,gh_hmm_pageable_cuda_init,0.118,2278.52
HYBRID SWEEP,4096,10,0.8,um_migrate,11.516,23.31
HYBRID SWEEP,4096,10,0.8,um_migrate_no_prefetch,9.691,27.7
HYBRID SWEEP,4096,10,0.8,gh_hbm_shared,10.547,25.45
HYBRID SWEEP,4096,10,0.8,gh_hbm_shared_no_prefetch,9.721,27.61
HYBRID SWEEP,4096,10,0.8,gh_cpu_shared,1.344,199.78
HYBRID SWEEP,4096,10,0.8,gh_hmm_pageable,0.923,290.94
HYBRID SWEEP,4096,10,0.8,gh_hmm_pageable_cuda_init,0.082,3277.06
HYBRID SWEEP,8192,5,0.1,um_migrate,28.543,37.62
HYBRID SWEEP,8192,5,0.1,um_migrate_no_prefetch,22.479,47.77
HYBRID SWEEP,8192,5,0.1,gh_hbm_shared,27.074,39.66
HYBRID SWEEP,8192,5,0.1,gh_hbm_shared_no_prefetch,22.421,47.89
HYBRID SWEEP,8192,5,0.1,gh_cpu_shared,25.676,41.82
HYBRID SWEEP,8192,5,0.1,gh_hmm_pageable,28.357,37.86
HYBRID SWEEP,8192,5,0.1,gh_hmm_pageable_cuda_init,1.071,1002.29
HYBRID SWEEP,8192,5,0.2,um_migrate,28.747,37.35
HYBRID SWEEP,8192,5,0.2,um_migrate_no_prefetch,23.831,45.06
HYBRID SWEEP,8192,5,0.2,gh_hbm_shared,28.716,37.39
HYBRID SWEEP,8192,5,0.2,gh_hbm_shared_no_prefetch,23.488,45.72
HYBRID SWEEP,8192,5,0.2,gh_cpu_shared,23.295,46.09
HYBRID SWEEP,8192,5,0.2,gh_hmm_pageable,23.58,45.54
HYBRID SWEEP,8192,5,0.2,gh_hmm_pageable_cuda_init,0.959,1119.33
HYBRID SWEEP,8192,5,0.3,um_migrate,27.384,39.21
HYBRID SWEEP,8192,5,0.3,um_migrate_no_prefetch,22.494,47.73
HYBRID SWEEP,8192,5,0.3,gh_hbm_shared,28.587,37.56
HYBRID SWEEP,8192,5,0.3,gh_hbm_shared_no_prefetch,22.339,48.07
HYBRID SWEEP,8192,5,0.3,gh_cpu_shared,20.567,52.21
HYBRID SWEEP,8192,5,0.3,gh_hmm_pageable,20.846,51.51
HYBRID SWEEP,8192,5,0.3,gh_hmm_pageable_cuda_init,0.845,1270.43
HYBRID SWEEP,8192,5,0.4,um_migrate,26.989,39.78
HYBRID SWEEP,8192,5,0.4,um_migrate_no_prefetch,23.063,46.56
HYBRID SWEEP,8192,5,0.4,gh_hbm_shared,26.666,40.27
HYBRID SWEEP,8192,5,0.4,gh_hbm_shared_no_prefetch,23.249,46.19
HYBRID SWEEP,8192,5,0.4,gh_cpu_shared,18.206,58.98
HYBRID SWEEP,8192,5,0.4,gh_hmm_pageable,18.184,59.05
HYBRID SWEEP,8192,5,0.4,gh_hmm_pageable_cuda_init,0.739,1453.05
HYBRID SWEEP,8192,5,0.5,um_migrate,23.264,46.15
HYBRID SWEEP,8192,5,0.5,um_migrate_no_prefetch,24.406,43.99
HYBRID SWEEP,8192,5,0.5,gh_hbm_shared,23.844,45.03
HYBRID SWEEP,8192,5,0.5,gh_hbm_shared_no_prefetch,23.337,46.01
HYBRID SWEEP,8192,5,0.5,gh_cpu_shared,14.85,72.3
HYBRID SWEEP,8192,5,0.5,gh_hmm_pageable,21.42,50.13
HYBRID SWEEP,8192,5,0.5,gh_hmm_pageable_cuda_init,0.625,1717.59
HYBRID SWEEP,8192,5,0.7,um_migrate,27.517,39.02
HYBRID SWEEP,8192,5,0.7,um_migrate_no_prefetch,26.302,40.82
HYBRID SWEEP,8192,5,0.7,gh_hbm_shared,27.153,39.54
HYBRID SWEEP,8192,5,0.7,gh_hbm_shared_no_prefetch,27.693,38.77
HYBRID SWEEP,8192,5,0.7,gh_cpu_shared,8.981,119.56
HYBRID SWEEP,8192,5,0.7,gh_hmm_pageable,9.041,118.76
HYBRID SWEEP,8192,5,0.7,gh_hmm_pageable_cuda_init,0.401,2676.39
HYBRID SWEEP,8192,5,0.8,um_migrate,27.461,39.1
HYBRID SWEEP,8192,5,0.8,um_migrate_no_prefetch,28.463,37.72
HYBRID SWEEP,8192,5,0.8,gh_hbm_shared,26.228,40.94
HYBRID SWEEP,8192,5,0.8,gh_hbm_shared_no_prefetch,30.629,35.06
HYBRID SWEEP,8192,5,0.8,gh_cpu_shared,5.845,183.7
HYBRID SWEEP,8192,5,0.8,gh_hmm_pageable,4.838,221.95
HYBRID SWEEP,8192,5,0.8,gh_hmm_pageable_cuda_init,0.275,3900.23
HYBRID SWEEP,8192,10,0.1,um_migrate,27.719,38.74
HYBRID SWEEP,8192,10,0.1,um_migrate_no_prefetch,25.601,41.94
HYBRID SWEEP,8192,10,0.1,gh_hbm_shared,28.445,37.75
HYBRID SWEEP,8192,10,0.1,gh_hbm_shared_no_prefetch,26.126,41.1
HYBRID SWEEP,8192,10,0.1,gh_cpu_shared,26.781,40.09
HYBRID SWEEP,8192,10,0.1,gh_hmm_pageable,25.597,41.95
